id, isin, issuerName, maturityDate, startDate, bondDuration, couponRate, couponPeriod, high, low, last, change, yield, pieceSize, fitch, moody's, snp
1, UPB042, Buzzster, 20-01-2040, 20-01-2015, 25, 1.995, Annual, 328.153, 302.229, 304.562, -22.321, 1.999, 99.8, AA+, Aaa, AAA
2, LXBC2328, Ntags, 06-07-2029, 06-07-2015, 14, 0.827, Semi-Annual, 270.955, 246.677, 256.874, 3.281, 0.828, 99.879, AA-, A1, AA+
3, TYE047, Oyoba, 21-12-2037, 21-12-2015, 22, 4.534, Quaterly, 348.781, 316.658, 318.586, -9.819, 4.555, 99.539, A-, Baa2, BBB-
4, QXG483018, Brightdog, 12-10-2047, 12-10-2015, 32, 0.045, Semi-Annual, 133.497, 100.0, 131.631, 2.235, 0.045, 100, BBB, Baa2, BB
5, IPUVL586203, Centidel, 15-07-2038, 15-07-2015, 23, 1.836, Annual, 326.288, 314.901, 319.456, -0.419, 1.839, 99.837, A, Baa1, BBB+
6, MVL18717, Einti, 11-08-2048, 11-08-2015, 33, 4.125, Quaterly, 441.714, 409.601, 413.776, -22.06, 4.142, 99.59, B+, A1, BB
7, KEVJT991, Zoovu, 07-02-2036, 07-02-2015, 21, 4.681, Quaterly, 27.139, 26.48, 26.559, 0.497, 4.703, 99.532, AA+, Aaa, AAA
8, BTUP25396, Meezzy, 03-05-2036, 03-05-2015, 21, 4.8, Semi-Annual, 404.714, 364.243, 379.217, 17.765, 4.823, 99.523, A, Baa1, BBB+
9, AVGS633, Skibox, 13-08-2021, 13-08-2015, 6, 1.81, Annual, 379.138, 362.191, 369.986, -0.699, 1.813, 99.835, B+, A3, A-
10, WOGXL690268, Skimia, 03-09-2026, 03-09-2015, 11, 4.723, Quaterly, 241.853, 238.854, 240.413, 3.774, 4.745, 99.536, A+, A2, A
11, XTR08450, Skippad, 26-04-2021, 26-04-2015, 6, 2.69, Semi-Annual, 185.444, 181.457, 183.889, 1.0, 2.697, 99.74, B+, Baa1, BB
12, VJWUG996, Tambee, 18-02-2036, 18-02-2015, 21, 4.519, Annual, 317.156, 312.367, 314.091, 15.887, 4.539, 99.559, B+, Ba3, BB+
13, PNT997, Babblestorm, 21-07-2046, 21-07-2015, 31, 2.744, Quaterly, 253.945, 235.788, 243.414, -2.509, 2.752, 99.709, B+, Ba3, BB+
14, QUTFV94596, Tambee, 09-01-2034, 09-01-2015, 19, 2.609, Semi-Annual, 327.836, 318.132, 327.06, -0.049, 2.616, 99.732, B+, WR, BBR
15, SRF588, Jaxspan, 05-03-2049, 05-03-2015, 34, 4.022, Annual, 137.714, 136.419, 136.808, -28.109, 4.038, 99.604, B+, Caa1, CCC
16, IVYHR68541, BlogXS, 14-04-2032, 14-04-2015, 17, 4.946, Semi-Annual, 125.046, 100.0, 100.0, -6.06, 4.97, 99.517, BB, B3, BB
17, TJCH1498, Thoughtstorm, 08-10-2029, 08-10-2015, 14, 2.51, Annual, 53.47, 52.604, 53.011, 8.81, 2.516, 99.762, BB+, Baa3, BB+
18, EYHU359489, Geba, 28-06-2050, 28-06-2015, 35, 0.968, Semi-Annual, 173.596, 160.316, 167.753, 12.361, 0.969, 99.897, B+, Ba3, BB-
19, ZCL715175, Fanoodle, 29-04-2024, 29-04-2015, 9, 0.113, Quaterly, 86.354, 81.769, 81.952, -5.705, 0.113, 100, B+, Caa2, B-
20, ZVARE722550, Skyndu, 17-11-2024, 17-11-2015, 9, 3.4, Semi-Annual, 100.0, 100.0, 100.0, -4.18, 3.412, 99.648, BBB-, B1, BB
21, VEOQ198282, Eare, 02-03-2049, 02-03-2015, 34, 0.063, Annual, 250.557, 240.434, 250.152, -19.505, 0.063, 100, B+, Baa1, BB+
22, WON590230, Flashdog, 20-03-2036, 20-03-2015, 21, 2.243, Semi-Annual, 284.045, 282.454, 283.822, 2.609, 2.248, 99.778, B+, Baa1, BB
23, IQJ883878, Cogibox, 15-09-2048, 15-09-2015, 33, 4.815, Annual, 394.778, 378.987, 379.934, 1.999, 4.838, 99.525, B+, Baa1, BB
24, ARE41764, Linktype, 29-08-2047, 29-08-2015, 32, 3.824, Quaterly, 218.197, 208.073, 209.591, 9.66, 3.839, 99.609, B+, Baa1, BB+
25, DGXCS522689, Skimia, 24-03-2036, 24-03-2015, 21, 1.676, Semi-Annual, 389.468, 373.617, 380.274, 15.243, 1.679, 99.821, B+, Baa1, BB
26, ATQOC282, Edgeclub, 31-01-2031, 31-01-2015, 16, 1.068, Annual, 243.738, 224.068, 228.986, 0.314, 1.069, 99.906, B+, Baa1, BB
27, BDY491992, Twimbo, 05-07-2019, 05-07-2015, 4, 2.467, Semi-Annual, 444.135, 436.807, 438.272, -10.0, 2.473, 99.757, B+, Baa1, BB-
28, KSVZY623745, Rhycero, 06-06-2041, 06-06-2015, 26, 0.719, Semi-Annual, 367.253, 336.734, 344.974, -21.37, 0.72, 99.861, B+, Baa1, BB
29, TCS762515, Yata, 04-12-2042, 04-12-2015, 27, 2.733, Annual, 409.486, 382.296, 383.656, -33.692, 2.74, 99.745, B+, Baa1, BBB+
30, HFKGC509, Roomm, 17-01-2028, 17-01-2015, 13, 0.037, Semi-Annual, 465.871, 450.544, 459.434, 60.209, 0.037, 100, B+, Baa1, BB
31, KNW02905, Brainverse, 28-04-2039, 28-04-2015, 24, 2.339, Semi-Annual, 425.188, 408.053, 418.334, -2.75, 2.344, 99.787, A+, A1, AA-
32, ZUNI868, Muxo, 21-10-2047, 21-10-2015, 32, 2.219, Quaterly, 222.895, 204.863, 214.24, 11.116, 2.224, 99.775, BBB, Baa3, BB
33, ZQSUT060, Latz, 16-05-2025, 16-05-2015, 10, 4.523, Annual, 227.401, 217.782, 222.111, 1.014, 4.543, 99.56, BBB-, Ba1, BBB
34, AXNBC733883, Zoozzy, 18-12-2018, 18-12-2015, 3, 0.876, Semi-Annual, 432.988, 392.677, 428.554, -16.902, 0.877, 99.886, BBB-, Ba1, BBB-
35, WZC519816, Roodel, 28-10-2039, 28-10-2015, 24, 1.808, Annual, 281.607, 268.597, 279.655, -52.11, 1.811, 99.834, B+, Aa2, BB
36, ROG3979, Blognation, 28-11-2046, 28-11-2015, 31, 3.632, Quaterly, 431.834, 394.567, 426.989, 32.713, 3.645, 99.643, B+, Baa3, BB
37, UFEJW538, Eayo, 23-08-2044, 23-08-2015, 29, 3.808, Annual, 217.055, 215.514, 216.038, -1.128, 3.823, 99.608, B+, Baa2, BBB
38, JEIQ0564, Yakitri, 09-12-2020, 09-12-2015, 5, 2.599, Semi-Annual, 493.08, 489.283, 490.536, -0.357, 2.606, 99.731, A-, Baa1, BBB+
39, PKAEN12555, Jaxspan, 31-07-2049, 31-07-2015, 34, 4.62, Annual, 51.604, 50.814, 51.486, -1.108, 4.641, 99.548, B+, Aa1, AA+
40, YPTV315, Devpoint, 12-12-2023, 12-12-2015, 8, 4.06, Quaterly, 450.706, 407.844, 422.417, -227.323, 4.076, 99.607, AA, Aa3, BB
41, SZPW582066, Jatri, 10-05-2034, 10-05-2015, 19, 2.634, Semi-Annual, 167.266, 164.724, 166.274, -19.222, 2.641, 99.735, B+, WR, BB
42, SDR202, Zoomdog, 21-12-2027, 21-12-2015, 12, 4.634, Annual, 328.251, 321.292, 324.772, -15.1, 4.655, 99.549, BB, B3, BB
43, HKBU87963, Blogtags, 18-10-2034, 18-10-2015, 19, 3.299, Quaterly, 483.778, 454.122, 483.481, 7.96, 3.31, 99.668, BB, B3, BB
44, CJZF367384, Skinder, 13-03-2025, 13-03-2015, 10, 1.847, Semi-Annual, 417.58, 396.785, 396.785, -1.173, 1.85, 99.838, B+, Baa1, AA
45, NMYBC5244, Aibox, 21-02-2041, 21-02-2015, 26, 3.928, Annual, 200.521, 195.688, 200.376, -6.18, 3.943, 99.62, B+, Caa1, B
46, WRKV14614, Photospace, 13-02-2037, 13-02-2015, 22, 4.804, Quaterly, 128.439, 126.988, 100.0, 3.994, 4.827, 99.524, B+, Caa3, CCC
47, NFAL682203, Meetz, 28-03-2032, 28-03-2015, 17, 1.579, Semi-Annual, 438.606, 402.64, 407.676, -26.802, 1.581, 99.873, BB+, B1, BBB-
48, MXATW108, Pixoboo, 23-02-2020, 23-02-2015, 5, 1.122, Semi-Annual, 180.864, 178.133, 178.843, -12.052, 1.123, 99.911, B+, Ba2, BB+
49, CNPQ48249, Topicshots, 01-12-2036, 01-12-2015, 21, 1.228, Quaterly, 315.635, 289.216, 304.275, 18.543, 1.23, 99.837, BB+, Ba1, BB+
50, QATHD9108, Blogspan, 06-05-2033, 06-05-2015, 18, 4.547, Annual, 282.098, 259.897, 262.783, 18.845, 4.568, 99.54, BB, B3, BB
51, XDL9523, Brainverse, 01-01-2040, 01-01-2015, 25, 4.666, Semi-Annual, 443.518, 427.773, 436.905, 1.7, 4.688, 99.531, B+, Baa1, B+
52, NGF142, Browsetype, 13-11-2031, 13-11-2015, 16, 2.022, Annual, 145.735, 139.264, 144.053, -0.778, 2.026, 99.803, B+, Baa1, BB
53, VEOLR973789, Divanoodle, 25-11-2026, 25-11-2015, 11, 1.975, Quaterly, 461.043, 448.226, 452.327, -22.008, 1.979, 99.798, B+, Baa1, BB
54, JPC2370, Oloo, 20-01-2050, 20-01-2015, 35, 4.919, Annual, 415.637, 406.244, 410.752, -36.903, 4.943, 99.514, B+, Baa1, BB
55, VBG008, Blogtags, 05-08-2048, 05-08-2015, 33, 3.905, Semi-Annual, 469.329, 465.293, 468.239, -38.592, 3.92, 99.617, B+, Caa3, D
56, IOVGB309, Fanoodle, 23-06-2049, 23-06-2015, 34, 3.571, Annual, 253.627, 235.163, 237.563, 148.564, 3.584, 99.637, B+, Baa1, BB
57, JBM55688, Zoomdog, 16-04-2037, 16-04-2015, 22, 0.462, Quaterly, 141.309, 100.0, 100.0, 1.9, 0.462, 100, B+, Baa1, B-
58, KAT883411, Avavee, 19-02-2029, 19-02-2015, 14, 0.009, Annual, 52.308, 48.526, 49.056, -1.331, 0.009, 100, BB, B2, BB
59, VGXF84650, Mydo, 06-02-2038, 06-02-2015, 23, 4.256, Semi-Annual, 387.571, 351.372, 386.485, 6.378, 4.274, 99.579, B+, Baa1, BB
60, LVXWQ577, Jazzy, 04-08-2040, 04-08-2015, 25, 2.767, Annual, 255.765, 255.458, 255.63, -0.911, 2.775, 99.712, B+, Baa1, BB
61, SAUY77204, Katz, 12-11-2029, 12-11-2015, 14, 2.069, Quaterly, 474.646, 455.897, 461.147, -135.564, 2.073, 99.807, A, A3, BB
62, QKNFX769092, Chatterbridge, 15-11-2046, 15-11-2015, 31, 1.682, Semi-Annual, 473.626, 462.496, 467.504, 54.731, 1.685, 99.822, AA+, Aaa, AAA
63, GQY8382, Divape, 06-01-2027, 06-01-2015, 12, 3.002, Annual, 84.672, 77.145, 81.134, 6.893, 3.011, 99.701, AA-, A2, A
64, FYLZV7726, Zoonoodle, 15-01-2028, 15-01-2015, 13, 3.993, Quaterly, 206.165, 195.279, 201.593, 1.8, 4.009, 99.601, B+, Aa2, BB
65, SHPG3446, Kare, 10-07-2036, 10-07-2015, 21, 4.05, Annual, 235.831, 213.686, 225.645, 1.0, 4.066, 99.606, AA-, A1, AA+
66, SLOJ5565, Jaxbean, 15-04-2048, 15-04-2015, 33, 0.586, Semi-Annual, 209.893, 200.238, 206.514, 0.681, 0.586, 100, BBB, Baa3, BB
67, NDGJ913906, Livepath, 26-07-2041, 26-07-2015, 26, 1.615, Annual, 334.387, 304.058, 321.649, 8.943, 1.618, 99.815, BBB-, Ba1, BBB-
